,math_placement_score,hsgpa,NonTC,Mix,APOnly,STEM,NONSTEM,Female,Male,Caucasian,Black,Multirace,Hispanic,AsiPac,Asian,Native,HawaiiPac,Other,8 or less,10 or less,12 or less
0,0.949720963032601,-0.37764322514334026,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
1,0.591251474665784,0.8922578093500582,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,-0.12568750206784893,1.3587520669190623,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3,0.949720963032601,0.6071779852801118,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
6,1.8458946839496422,0.6434608719799226,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
7,0.591251474665784,-0.18845388735146662,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
8,-0.12568750206784893,-0.1314379225374778,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9,-1.0218612229848907,-0.24806148692972854,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
12,-0.6633917346180739,-0.36986832085052324,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
13,0.4120167304823758,0.38688903031697125,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
14,0.949720963032601,1.9574196974659501,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
15,-0.8426264788014821,1.5349832308895761,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
16,1.3081904513994176,1.0710806080848427,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
18,-1.2010959671682988,-1.481679634723316,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
20,1.8458946839496422,-0.6964143011488267,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
21,0.23278198629896754,-1.4842712694875881,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22,-1.0218612229848907,-1.2251077930603635,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
23,-0.48415699043466537,0.42576355178105524,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
27,-0.6633917346180739,0.4179886474882382,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
28,-0.8426264788014821,0.037018337140219,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
30,-0.6633917346180739,-0.24806148692972854,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31,-0.12568750206784893,0.3998472041383322,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
32,-2.0972696880853405,-1.022960281447128,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
33,-1.2010959671682988,-0.36986832085052324,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
35,-1.9180349439019322,0.011101989497495975,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
